,pH_level,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Akermanite,Albite,Aluminium_oxide_hydroxide,Anhydrite,Aragonite,Augite,Biotite,Birnessite,Calcite,Clinochlore,Cuspidine,Diaspore,Dickite,Gehlenite,Goethite,Haematite,Illite,Kaolinite,Langite,Linnaeite,Magnesioferrite,Melilite,Merwinite,Microcline,Mullite,Muscovite,Nitratine,Orthoclase,Orthopyroxene,Periclase,Phengite,Pigeonite,Pseudowollastonite,Quartz,Spinel,Staurolite,Valentinite
Carnforth_1,9.008,39,9,22,23,1,0.4,1.3,0.05,0.6,0.7,0.1,0.034,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Carnforth_2,10.175,34.2,9.85,1.13,36.7,1.48,0.29,0.42,0.004,0.75,0.24,0.04,0.04,0.16,2.00E-05,0.000496,0.0003,0.005,0.052,0.00128,0.0002,0.00232,5.00E-05,0.0001,0.0006,0.0014,6.40E-05,0.001,0.0001,2.60E-05,0.003,0.005,7.50E-05,0.1835,0.0001,1.00E-05,0.0007,0.013,0.0011,6.00E-05,0.0002,0.0011,0.0372,0.002,2.10E-05,0.001,0.001,0.001,0.001,0.0036,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Carnforth_3,10.589,36.5,8.34,2.9,28.6,1.35,0.31,0.67,0.003,0.44,0.25,0.06,0.03,0.08,0.00013,0.000363,0.0011,0.006,0.069,0.00084,0.0002,0.00194,0.00027,0.0003,0.0013,0.0053,0.000192,0.001,0.0001,2.60E-05,0.003,0.004,7.10E-05,0.181,0.0001,8.00E-06,0.0008,0.02,0.0212,4.30E-05,0.0016,0.0007,0.0266,0.002,9.00E-06,0.001,0.001,0.0012,0.001,0.0503,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Carnforth_4,9.516,38.9,6.79,1.12,28.1,1.34,0.35,0.56,0.006,0.41,0.23,0.05,0.03,0.11,3.00E-05,0.000295,0.0007,0.004,0.09,0.00086,0.0002,0.00189,6.00E-05,0.0036,0.0014,0.003,7.10E-05,0.001,0.0001,1.70E-05,0.002,0.004,7.30E-05,0.161,0.0001,9.00E-06,0.0006,0.019,0.0071,2.70E-05,0.0002,0.0005,0.0283,0.002,6.00E-06,0.001,0.001,0.0011,0.001,0.012,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carnforth_5,10.133,30.5,8.3,0.69,35,1.62,0.16,0.29,0.002,0.56,0.12,0.06,0.03,0.08,3.00E-05,0.000413,0.0003,0.004,0.049,0.00114,0.0002,0.00232,5.00E-05,0.0004,0.001,0.0017,4.50E-05,0.001,0.0001,1.20E-05,0.003,0.004,8.90E-05,0.0852,0.0001,7.00E-06,0.0003,0.021,0.0028,8.10E-05,0.0002,0.0008,0.0281,0.002,1.40E-05,0.001,0.001,0.0005,0.001,0.0046,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Carnforth_6,8.79,43,6,26,17,1,0.5,1.6,0.01,0.3,0.3,0.1,0.025,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carnforth_7,10.071,30.9,9.46,1.12,35.8,1.11,0.2,0.44,0.003,0.5,0.27,0.02,0.03,0.09,7.00E-05,0.000469,0.0005,0.004,0.073,0.00097,0.0002,0.00237,9.00E-05,0.0002,0.0012,0.0022,7.10E-05,0.001,0.0001,2.20E-05,0.003,0.006,6.10E-05,0.1995,0.0001,1.00E-05,0.0006,0.008,0.01,4.10E-05,0.0003,0.001,0.0334,0.002,1.30E-05,0.001,0.001,0.0007,0.001,0.0171,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Carnforth_8,7.975,86.8,5.72,1.37,0.51,0.5,1.14,1.63,0.006,0.32,0.02,0.08,0.01,0.03,2.00E-05,4.20E-05,0.0004,0.001,0.002,5.00E-05,0.0002,2.20E-05,5.00E-05,0.0003,0.0008,0.0004,7.60E-05,0.001,0.0001,5.00E-06,0.001,0.001,2.10E-05,0.0124,0.0001,4.00E-06,0.0008,0.032,0.0048,4.00E-06,0.0002,0.0001,0.0009,0.002,1.00E-06,0.001,0.001,0.0008,0.001,0.0052,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hodbarrow_1,10.66,32.8,8.82,1.12,37.2,2.34,0.28,0.49,0.002,0.21,0.23,0.02,0.04,0.53,3.00E-05,0.000455,0.0006,0.007,0.018,0.00114,0.0002,0.00227,5.00E-05,0.0001,0.0004,0.0017,6.90E-05,0.001,0.0001,3.20E-05,0.004,0.008,0.000129,0.1655,0.0001,1.60E-05,0.0005,0.009,0.0074,7.40E-05,0.0003,0.001,0.0392,0.002,8.00E-06,0.001,0.001,0.0006,0.001,0.0073,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Hodbarrow_2,8.381,69.4,6.95,3.81,2.64,0.91,0.86,1.72,0.01,0.45,0.1,0.1,0.01,0.08,2.00E-05,9.20E-05,0.0016,0.001,0.048,0.00018,0.0002,0.00017,5.00E-05,0.0005,0.0015,0.0014,0.000218,0.001,0.0001,8.00E-06,0.001,0.002,4.00E-05,0.0699,0.0001,2.00E-06,0.0013,0.04,0.0039,7.00E-06,0.0005,0.0002,0.0036,0.002,2.00E-06,0.001,0.001,0.0018,0.001,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
