Sample_Location,X,Y,pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,ZrO2,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
Hodbarrow_Quadrat_1,317389,477973,10.66,32.8,8.82,1.12,37.2,2.34,0.28,0.49,0.002,0.21,0.23,0.02,0.04,0.53,0,3.00E-05,0.0006,0.007,0.00114,0.0002,5.00E-05,0.0001,0.0017,0.001,0.0001,0.004,0.008,0.0001,0.0005,0.0074,7.40E-01,0.0003,0.001,0.002,0.001,0.001,0.0006,0.001,0.0073
Hodbarrow_Quadrat_2,317507,477955,8.381,69.4,6.95,3.81,2.64,0.91,0.86,1.72,0.01,0.45,0.1,0.1,0.01,0.08,0,2.00E-05,0.0016,0.001,0.00018,0.0002,5.00E-05,0.0005,0.0014,0.001,0.0001,0.001,0.002,0.0001,0.0013,0.0039,7.00E-02,0.0005,0.0002,0.002,0.001,0.001,0.0018,0.001,0.0061
Hodbarrow_Quadrat_3,317470,477948,8.873,69.4,7.17,4.29,3.79,1.12,0.93,1.69,0.01,0.47,0.12,0.1,0.01,0.08,0,2.00E-05,0.0019,0.001,0.0002,0.0002,5.00E-05,0.0006,0.0018,0.001,0.0001,0.001,0.002,0.0001,0.0013,0.0051,7.00E-02,0.0006,0.0003,0.002,0.001,0.001,0.0019,0.001,0.0074
Hodbarrow_Quadrat_4,317321,477973,8.806,60.9,9.95,3.58,6.31,2.31,1.8,1.74,0.016,0.51,0.12,0.17,0.02,0.15,0,2.00E-05,0.0007,0.001,0.00019,0.0002,5.00E-05,0.001,0.0024,0.001,0.0001,0.002,0.003,0.0001,0.0033,0.0016,1.10E-01,0.0002,0.0003,0.002,0.001,0.001,0.0031,0.001,0.0046
Hodbarrow_Quadrat_5,317327,477940,10.346,43.5,8.31,2.02,22.7,1.36,1.16,0.97,0.003,0.19,0.16,0.07,0.02,0.32,0,4.00E-05,0.001,0.004,0.00068,0.0002,5.00E-05,0.0002,0.0022,0.001,0.0001,0.002,0.004,0.0001,0.0006,0.0056,5.30E-01,0.0004,0.0006,0.002,0.001,0.001,0.0007,0.001,0.0058
Hodbarrow_Quadrat_6,317040,478090,9.966,28.7,8.99,1.06,36.5,2.09,0.25,0.33,0.002,0.21,0.19,0.02,0.03,0.35,0,3.00E-05,0.0006,0.003,0.00116,0.0002,5.00E-05,0.0001,0.0018,0.001,0.0001,0.005,0.006,0.0001,0.0004,0.0041,3.50E-01,0.0003,0.0012,0.002,0.001,0.001,0.0004,0.001,0.0051
Hodbarrow_Quadrat_7,317466,477921,9.451,30,8.26,1.41,29.8,1.86,0.26,0.57,0.003,0.24,0.23,0.07,0.03,0.53,0,7.00E-05,0.0009,0.006,0.00094,0.0002,5.00E-05,0.0002,0.0027,0.001,0.0001,0.003,0.006,0.0001,0.0007,0.0091,3.30E-01,0.0004,0.0008,0.002,0.001,0.001,0.0007,0.001,0.0094
SM21_H1,317517,477948,10.481,56.6,7.87,3.62,12.6,1.47,0.75,1.46,0.009,0.42,0.17,0.1,0.02,0.27,0,0.00002,0.0014,0.003,0.00045,0.0002,0.00005,0.0005,0.0021,0.001,0.0001,0.002,0.003,0.0001,0.0013,0.0045,0.27,0.0005,0.0005,0.002,0.001,0.001,0.0018,0.001,0.0073
SM21_H2,317478,477953,9.671,43,8.61,3.99,20.9,2.01,0.56,1.04,0.008,0.37,0.22,0.06,0.02,0.26,0,0.00005,0.0012,0.002,0.00069,0.0002,0.00005,0.0004,0.0026,0.001,0.0001,0.003,0.005,0.0001,0.0013,0.0166,0.22,0.0005,0.0007,0.002,0.001,0.001,0.0015,0.001,0.0151
SM21_H3,317475,477979,10.722,43.1,7.58,2.85,24.8,1.54,0.48,0.96,0.005,0.31,0.19,0.05,0.03,0.39,0,0.00004,0.0009,0.005,0.00071,0.0002,0.00005,0.0004,0.0015,0.001,0.0001,0.003,0.005,0.0001,0.0011,0.0059,0.79,0.0005,0.0007,0.002,0.001,0.001,0.0013,0.001,0.009
SM21_H4,317430,477951,9.397,54.3,8.43,3.73,13.95,2.26,0.73,1.36,0.007,0.44,0.15,0.07,0.02,0.26,0,0.00002,0.0015,0.002,0.00062,0.0002,0.00005,0.0005,0.002,0.001,0.0001,0.002,0.004,0.0001,0.0011,0.0066,0.19,0.0007,0.0006,0.002,0.001,0.001,0.0016,0.001,0.008
SM21_H5,317432,477983,9.141,68.6,7.44,4.48,5.11,1.3,0.97,1.72,0.011,0.48,0.11,0.11,0.01,0.11,0,0.00002,0.0019,0.001,0.00022,0.0002,0.00005,0.0005,0.0018,0.001,0.0001,0.001,0.002,0.0001,0.0013,0.0044,0.1,0.0009,0.0003,0.002,0.001,0.001,0.0019,0.001,0.0065
SM21_H6,317416,477954,10.497,39,8.13,1.73,29.2,2,0.34,0.62,0.003,0.22,0.24,0.04,0.03,0.4,0,0.00005,0.0005,0.004,0.00109,0.0002,0.00005,0.0002,0.0016,0.001,0.0001,0.003,0.006,0.0001,0.0006,0.0134,0.43,0.0005,0.0008,0.002,0.001,0.001,0.0008,0.001,0.0137
SM21_H7,317422,477993,10.184,28.7,8.89,1.38,36.5,2.63,0.24,0.33,0.002,0.23,0.34,0.01,0.06,0.62,0,0.00002,0.0003,0.005,0.00099,0.0002,0.00005,0.0001,0.0016,0.001,0.0001,0.003,0.007,0.0001,0.0006,0.0051,0.82,0.0003,0.0011,0.002,0.001,0.001,0.0006,0.001,0.0063
SM21_H8,317379,477961,10.334,37.2,9.69,1.64,29.3,2.49,0.39,0.58,0.002,0.26,0.26,0.03,0.04,0.47,0,0.00003,0.0005,0.005,0.00121,0.0002,0.00005,0.0001,0.0021,0.001,0.0001,0.004,0.008,0.0001,0.0008,0.0123,0.37,0.0005,0.001,0.002,0.001,0.001,0.0008,0.001,0.0114
SM21_H9,317395,478013,10.462,32.5,10,1.42,31.6,2.84,0.28,0.4,0.002,0.24,0.36,0.04,0.05,0.47,0,0.00003,0.0004,0.003,0.0011,0.0002,0.00005,0.0001,0.002,0.001,0.0001,0.004,0.008,0.0001,0.0007,0.0091,0.45,0.0004,0.0011,0.002,0.001,0.001,0.0008,0.001,0.0101
SM21_H10,317342,477973,10.199,33,8.79,1.08,32.6,2.49,0.33,0.53,0.002,0.23,0.29,0.02,0.05,0.56,0,0.00003,0.0004,0.005,0.00112,0.0002,0.00005,0.0002,0.0015,0.001,0.0001,0.004,0.008,0.0001,0.0006,0.0098,0.41,0.0005,0.001,0.002,0.001,0.001,0.0007,0.001,0.0098
SM21_H11,317342,478028,9.271,28.9,9.26,1.46,33.9,2.23,0.28,0.37,0.004,0.23,0.3,0.04,0.05,0.65,0,0.00004,0.0004,0.002,0.001,0.0002,0.00005,0.0002,0.0018,0.001,0.0001,0.004,0.007,0.0001,0.0007,0.007,0.28,0.0003,0.0011,0.002,0.001,0.001,0.0008,0.001,0.0079
SM21_H12,317314,478017,10.583,38.6,6.01,1.07,29.1,1.39,0.37,0.68,0.005,0.25,0.16,0.08,0.04,0.34,0,0.00002,0.0005,0.005,0.00077,0.0002,0.00005,0.0002,0.0015,0.001,0.0001,0.003,0.005,0.0001,0.0007,0.0013,0.81,0.0002,0.0006,0.002,0.001,0.001,0.0011,0.001,0.0026
