Sample_Location,X,Y,Akermanite,Albite,Calcite,Cassiterite,Cervantite,Cuspidine,Dolomite,Gehlenite,Lime,Linnaeite,Melilite,Nitratine,Orthoclase,Orthopyroxene,Pigeonite,Quartz,Thaumasite,Valentinite
Quadrat_1,317389,477973,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Quadrat_2,317507,477955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Quadrat_3,317470,477948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Quadrat_4,317321,477973,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Quadrat_5,317327,477940,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
Quadrat_6,317040,478090,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Quadrat_7,317466,477921,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H1,317517,477948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
SM21_H2,317478,477953,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H3,317475,477979,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SM21_H4,317430,477951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H5,317432,477983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H6,317416,477954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H7,317422,477993,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
SM21_H8,317379,477961,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H9,317395,478013,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SM21_H10,317342,477973,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SM21_H11,317342,478028,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SM21_H12,317314,478017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
SM21_H13,317267,477927,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
SM21_H14,317328,478086,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
SM21_H15,317270,478101,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
SM21_H16,317262,478044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H17,317149,478058,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H18,317183,478137,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
SM21_H19,317103,478075,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
SM21_H20,317123,478124,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
SM21_H21,317064,478143,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
SM21_H22,317080,478011,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SM21_H23,317160,477982,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SM21_H24,317217,477962,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
