Sample_Location,X,Y,pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,ZrO2,Ag,As,B,Be,Bi,Cd,Co,Cu,Fe,Ga,Hg,La,Li,Mo,Na,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
Warton_Quadrat_1,347822,470562,9.008,39,9,22,23,1,0.4,1.3,0.05,0.6,0.7,0.1,0.034,0.2,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01,0,0.6
Warton_Quadrat_2,347830,470582,10.175,34.2,9.85,1.13,36.7,1.48,0.29,0.42,0.004,0.75,0.24,0.04,0.04,0.16,0,2.00E-05,0.0003,0.005,0.00128,0.0002,5.00E-05,0.0001,0.0014,6.40E-05,0.001,0.0001,0.003,0.005,0.0001,1.00E-05,0.0007,0.0011,6.00E-01,0.0002,0.0011,0.002,0.001,0.001,0.001,0.001,0.0036
Warton_Quadrat_3,347783,470676,10.589,36.5,8.34,2.9,28.6,1.35,0.31,0.67,0.003,0.44,0.25,0.06,0.03,0.08,0,0.00013,0.0011,0.006,0.00084,0.0002,0.00027,0.0003,0.0053,0.000192,0.001,0.0001,0.003,0.004,0.0001,8.00E-06,0.0008,0.0212,4.30E-01,0.0016,0.0007,0.002,0.001,0.001,0.0012,0.001,0.0503
Warton_Quadrat_4,347676,470840,9.516,38.9,6.79,1.12,28.1,1.34,0.35,0.56,0.006,0.41,0.23,0.05,0.03,0.11,0,3.00E-05,0.0007,0.004,0.00086,0.0002,6.00E-05,0.0036,0.003,7.10E-05,0.001,0.0001,0.002,0.004,0.0001,9.00E-06,0.0006,0.0071,2.70E-01,0.0002,0.0005,0.002,0.001,0.001,0.0011,0.001,0.012
Warton_Quadrat_5,347772,470734,10.133,30.5,8.3,0.69,35,1.62,0.16,0.29,0.002,0.56,0.12,0.06,0.03,0.08,0,3.00E-05,0.0003,0.004,0.00114,0.0002,5.00E-05,0.0004,0.0017,4.50E-05,0.001,0.0001,0.003,0.004,0.0001,7.00E-06,0.0003,0.0028,8.10E-01,0.0002,0.0008,0.002,0.001,0.001,0.0005,0.001,0.0046
Warton_Quadrat_6,347715,470849,8.79,43,6,26,17,1,0.5,1.6,0.01,0.3,0.3,0.1,0.025,0.09,0.035,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.01,0,0.2
Warton_Quadrat_7,347732,470735,10.071,30.9,9.46,1.12,35.8,1.11,0.2,0.44,0.003,0.5,0.27,0.02,0.03,0.09,0,7.00E-05,0.0005,0.004,0.00097,0.0002,9.00E-05,0.0002,0.0022,7.10E-05,0.001,0.0001,0.003,0.006,0.0001,1.00E-05,0.0006,0.01,4.10E-01,0.0003,0.001,0.002,0.001,0.001,0.0007,0.001,0.0171
Warton_Quadrat_8,347537,471120,7.975,86.8,5.72,1.37,0.51,0.5,1.14,1.63,0.006,0.32,0.02,0.08,0.01,0.03,0,2.00E-05,0.0004,0.001,5.00E-05,0.0002,5.00E-05,0.0003,0.0004,7.60E-05,0.001,0.0001,0.001,0.001,0.0001,4.00E-06,0.0008,0.0048,4.00E-02,0.0002,0.0001,0.002,0.001,0.001,0.0008,0.001,0.0052
SM21_C3,347818,470572,8.435,33.9,10.35,0.44,33.8,1.48,0.17,0.22,0.002,0.31,0.2,0.02,0.03,0.09,0,0.00002,0.0005,0.002,0.00121,0.0002,0.00005,0.0001,0.0008,0.000028,0.001,0.0001,0.003,0.007,0.0001,0.000008,0.0004,0.0037,0.28,0.0006,0.0011,0.002,0.001,0.001,0.0003,0.001,0.0097
SM21_C4,347786,470558,9.395,30,8.94,0.94,33.8,1.34,0.15,0.29,0.002,0.43,0.4,0.02,0.03,0.14,0,0.00002,0.0002,0.002,0.00083,0.0002,0.00005,0.0001,0.0008,0.000065,0.001,0.0001,0.003,0.006,0.0001,0.000009,0.0004,0.0014,0.24,0.0003,0.0008,0.002,0.001,0.001,0.0006,0.001,0.003
